Date,Label,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
2016-06-27,0,Market Update: Tech stock fed signals rate cuts,News: SEC sector rotation observed,Market Update: Banking stock inflation data comes in lower,Market Update: Tech stock inflation data comes in lower,Market Update: Energy stock secures major contract,News: Fed releases meeting minutes,Market Update: Banking stock upgrades outlook,Market Update: Retail stock secures major contract,News: SEC markets await data,Market Update: Retail stock fed signals rate cuts,Market Update: Banking stock unemployment falls unexpectedly,Market Update: Tech stock beats earnings estimates,Market Update: Retail stock secures major contract,Market Update: Retail stock surges to record highs,News: Treasury to announce results,Market Update: Banking stock beats earnings estimates,News: ECB keeps rates unchanged,Market Update: Energy stock beats earnings estimates,Market Update: Tech stock secures major contract,News: ECB to announce results,Market Update: Banking stock fed signals rate cuts,News: Fed keeps rates unchanged,Market Update: Energy stock secures major contract,News: ECB keeps rates unchanged,Market Update: Banking stock tech sector leads rally
2016-06-28,1,Market Update: Retail stock upgrades outlook,Market Update: Banking stock tech sector leads rally,Market Update: Energy stock consumer confidence spikes,Market Update: Banking stock surges to record highs,Market Update: Energy stock inflation data comes in lower,Market Update: Retail stock secures major contract,Market Update: Retail stock fed signals rate cuts,Market Update: Tech stock upgrades outlook,News: Treasury sector rotation observed,Market Update: Energy stock inflation data comes in lower,News: Treasury to announce results,Market Update: Banking stock upgrades outlook,Market Update: Banking stock beats earnings estimates,News: SEC sector rotation observed,Market Update: Retail stock upgrades outlook,Market Update: Energy stock upgrades outlook,News: ECB to announce results,Market Update: Retail stock surges to record highs,Market Update: Tech stock tech sector leads rally,Market Update: Banking stock inflation data comes in lower,Market Update: Retail stock surges to record highs,News: Treasury to announce results,News: Fed sector rotation observed,Market Update: Retail stock surges to record highs,Market Update: Retail stock tech sector leads rally
2016-06-29,1,Market Update: Banking stock surges to record highs,Market Update: Banking stock fed signals rate cuts,Market Update: Tech stock inflation data comes in lower,Market Update: Banking stock secures major contract,Market Update: Energy stock beats earnings estimates,Market Update: Energy stock beats earnings estimates,News: Fed to announce results,Market Update: Retail stock upgrades outlook,Market Update: Retail stock fed signals rate cuts,News: SEC to announce results,Market Update: Energy stock inflation data comes in lower,Market Update: Banking stock tech sector leads rally,Market Update: Tech stock tech sector leads rally,Market Update: Energy stock surges to record highs,Market Update: Banking stock beats earnings estimates,Market Update: Tech stock tech sector leads rally,News: ECB to announce results,News: SEC sector rotation observed,Market Update: Retail stock fed signals rate cuts,Market Update: Tech stock consumer confidence spikes,Market Update: Tech stock surges to record highs,Market Update: Energy stock tech sector leads rally,Market Update: Energy stock unemployment falls unexpectedly,Market Update: Banking stock beats earnings estimates,News: Fed markets await data
2016-06-30,1,News: SEC releases meeting minutes,News: Treasury keeps rates unchanged,Market Update: Retail stock secures major contract,News: Fed to announce results,Market Update: Banking stock beats earnings estimates,News: Treasury trading volume light,Market Update: Banking stock secures major contract,News: ECB trading volume light,Market Update: Tech stock fed signals rate cuts,News: ECB to announce results,Market Update: Banking stock fed signals rate cuts,Market Update: Tech stock inflation data comes in lower,Market Update: Retail stock upgrades outlook,Market Update: Banking stock tech sector leads rally,Market Update: Energy stock secures major contract,Market Update: Tech stock surges to record highs,Market Update: Banking stock beats earnings estimates,Market Update: Energy stock unemployment falls unexpectedly,Market Update: Tech stock beats earnings estimates,Market Update: Tech stock unemployment falls unexpectedly,Market Update: Tech stock unemployment falls unexpectedly,Market Update: Energy stock secures major contract,Market Update: Energy stock secures major contract,Market Update: Energy stock secures major contract,News: ECB keeps rates unchanged
2016-07-01,1,Market Update: Tech stock beats earnings estimates,Market Update: Energy stock unemployment falls unexpectedly,Market Update: Tech stock surges to record highs,News: SEC sector rotation observed,News: SEC trading volume light,Market Update: Tech stock unemployment falls unexpectedly,Market Update: Energy stock surges to record highs,News: ECB keeps rates unchanged,Market Update: Tech stock inflation data comes in lower,Market Update: Retail stock fed signals rate cuts,Market Update: Energy stock surges to record highs,Market Update: Tech stock consumer confidence spikes,Market Update: Tech stock beats earnings estimates,Market Update: Retail stock surges to record highs,Market Update: Banking stock surges to record highs,Market Update: Retail stock unemployment falls unexpectedly,News: SEC keeps rates unchanged,Market Update: Retail stock tech sector leads rally,Market Update: Energy stock fed signals rate cuts,Market Update: Tech stock unemployment falls unexpectedly,Market Update: Retail stock surges to record highs,Market Update: Banking stock tech sector leads rally,Market Update: Energy stock inflation data comes in lower,Market Update: Retail stock tech sector leads rally,Market Update: Energy stock beats earnings estimates
2016-07-02,0,Breaking: Retail sector faces regulatory probe,Breaking: Energy sector faces regulatory probe,Breaking: Energy sector jobless claims rise,News: Fed releases meeting minutes,Breaking: Energy sector downgrades guidance,Breaking: Energy sector jobless claims rise,Breaking: Retail sector misses revenue targets,Breaking: Tech sector plunges on weak earnings,Breaking: Banking sector sell-off accelerates,Breaking: Tech sector misses revenue targets,News: Treasury keeps rates unchanged,Breaking: Energy sector consumer spending slows,Breaking: Energy sector downgrades guidance,News: Treasury releases meeting minutes,News: Treasury markets await data,Breaking: Tech sector sell-off accelerates,News: ECB releases meeting minutes,News: ECB releases meeting minutes,Breaking: Energy sector downgrades guidance,Breaking: Energy sector misses revenue targets,Breaking: Tech sector plunges on weak earnings,Breaking: Banking sector consumer spending slows,News: Treasury markets await data,Breaking: Tech sector jobless claims rise,Breaking: Retail sector plunges on weak earnings
2016-07-03,0,Breaking: Energy sector misses revenue targets,Breaking: Banking sector faces regulatory probe,Breaking: Energy sector consumer spending slows,Breaking: Energy sector faces regulatory probe,Breaking: Tech sector downgrades guidance,Breaking: Retail sector sell-off accelerates,News: ECB trading volume light,Breaking: Energy sector jobless claims rise,Breaking: Energy sector inflation accelerates,News: Fed to announce results,News: Treasury trading volume light,Breaking: Retail sector plunges on weak earnings,Breaking: Tech sector downgrades guidance,Breaking: Banking sector consumer spending slows,Breaking: Retail sector misses revenue targets,News: SEC markets await data,Breaking: Tech sector inflation accelerates,Breaking: Energy sector faces regulatory probe,Breaking: Tech sector misses revenue targets,Breaking: Banking sector faces regulatory probe,News: SEC to announce results,Breaking: Tech sector faces regulatory probe,News: ECB markets await data,Breaking: Banking sector plunges on weak earnings,Breaking: Energy sector sell-off accelerates
2016-07-04,0,Market Update: Tech stock secures major contract,Market Update: Retail stock inflation data comes in lower,Market Update: Energy stock secures major contract,Market Update: Tech stock surges to record highs,Market Update: Energy stock unemployment falls unexpectedly,News: Fed markets await data,Market Update: Tech stock unemployment falls unexpectedly,Market Update: Energy stock beats earnings estimates,News: ECB trading volume light,News: Fed keeps rates unchanged,Market Update: Tech stock consumer confidence spikes,Market Update: Tech stock tech sector leads rally,News: SEC releases meeting minutes,News: SEC trading volume light,Market Update: Banking stock unemployment falls unexpectedly,Market Update: Tech stock consumer confidence spikes,Market Update: Banking stock upgrades outlook,News: Treasury keeps rates unchanged,Market Update: Tech stock fed signals rate cuts,News: ECB markets await data,News: Treasury trading volume light,Market Update: Retail stock surges to record highs,Market Update: Tech stock unemployment falls unexpectedly,News: SEC keeps rates unchanged,News: ECB to announce results
2016-07-05,0,News: Treasury markets await data,Market Update: Energy stock surges to record highs,Market Update: Retail stock consumer confidence spikes,News: Treasury to announce results,News: Treasury to announce results,Market Update: Energy stock inflation data comes in lower,Market Update: Energy stock tech sector leads rally,Market Update: Tech stock beats earnings estimates,Market Update: Banking stock surges to record highs,Market Update: Tech stock surges to record highs,Market Update: Banking stock fed signals rate cuts,Market Update: Energy stock unemployment falls unexpectedly,News: Treasury to announce results,News: Treasury sector rotation observed,Market Update: Energy stock upgrades outlook,Market Update: Banking stock consumer confidence spikes,Market Update: Tech stock tech sector leads rally,News: ECB keeps rates unchanged,Market Update: Tech stock beats earnings estimates,News: Treasury markets await data,Market Update: Banking stock beats earnings estimates,News: ECB trading volume light,Market Update: Banking stock beats earnings estimates,Market Update: Retail stock consumer confidence spikes,Market Update: Energy stock fed signals rate cuts
2016-07-06,1,News: Fed releases meeting minutes,News: SEC keeps rates unchanged,News: ECB markets await data,News: SEC keeps rates unchanged,News: Fed to announce results,News: Treasury markets await data,News: SEC keeps rates unchanged,News: SEC trading volume light,News: Treasury sector rotation observed,News: Treasury releases meeting minutes,News: SEC markets await data,News: Treasury trading volume light,News: SEC trading volume light,News: Treasury trading volume light,News: SEC markets await data,News: ECB releases meeting minutes,News: Treasury keeps rates unchanged,News: ECB to announce results,News: ECB markets await data,News: SEC markets await data,News: Fed trading volume light,News: Treasury sector rotation observed,News: ECB keeps rates unchanged,News: ECB keeps rates unchanged,News: SEC markets await data
2016-07-07,0,Breaking: Banking sector downgrades guidance,Breaking: Banking sector faces regulatory probe,Breaking: Banking sector consumer spending slows,Breaking: Tech sector faces regulatory probe,Breaking: Tech sector misses revenue targets,News: ECB to announce results,Breaking: Tech sector jobless claims rise,Breaking: Banking sector consumer spending slows,Breaking: Retail sector downgrades guidance,Breaking: Tech sector fed hawkish on rates,Breaking: Energy sector plunges on weak earnings,News: Treasury keeps rates unchanged,Breaking: Banking sector jobless claims rise,Breaking: Tech sector downgrades guidance,Breaking: Energy sector consumer spending slows,Breaking: Energy sector faces regulatory probe,News: ECB markets await data,Breaking: Banking sector jobless claims rise,News: SEC markets await data,Breaking: Banking sector plunges on weak earnings,Breaking: Energy sector faces regulatory probe,Breaking: Energy sector inflation accelerates,Breaking: Tech sector inflation accelerates,Breaking: Retail sector misses revenue targets,News: SEC keeps rates unchanged
2016-07-08,1,Market Update: Tech stock unemployment falls unexpectedly,Market Update: Banking stock tech sector leads rally,Market Update: Retail stock secures major contract,News: ECB keeps rates unchanged,Market Update: Retail stock beats earnings estimates,Market Update: Retail stock secures major contract,Market Update: Banking stock fed signals rate cuts,Market Update: Tech stock surges to record highs,Market Update: Banking stock consumer confidence spikes,Market Update: Energy stock tech sector leads rally,Market Update: Retail stock fed signals rate cuts,News: Fed to announce results,Market Update: Energy stock inflation data comes in lower,Market Update: Banking stock unemployment falls unexpectedly,Market Update: Tech stock beats earnings estimates,Market Update: Banking stock secures major contract,News: Treasury markets await data,News: SEC markets await data,Market Update: Tech stock fed signals rate cuts,Market Update: Energy stock tech sector leads rally,Market Update: Tech stock beats earnings estimates,Market Update: Energy stock surges to record highs,News: SEC markets await data,Market Update: Retail stock tech sector leads rally,Market Update: Banking stock unemployment falls unexpectedly
2016-07-09,1,Market Update: Energy stock surges to record highs,News: ECB releases meeting minutes,Market Update: Banking stock consumer confidence spikes,Market Update: Retail stock consumer confidence spikes,Market Update: Retail stock secures major contract,News: ECB keeps rates unchanged,News: Treasury releases meeting minutes,News: ECB trading volume light,Market Update: Banking stock surges to record highs,News: ECB keeps rates unchanged,Market Update: Retail stock secures major contract,Market Update: Retail stock inflation data comes in lower,Market Update: Banking stock fed signals rate cuts,Market Update: Retail stock surges to record highs,Market Update: Retail stock tech sector leads rally,Market Update: Tech stock beats earnings estimates,Market Update: Tech stock beats earnings estimates,News: Fed releases meeting minutes,Market Update: Banking stock surges to record highs,News: SEC releases meeting minutes,Market Update: Energy stock unemployment falls unexpectedly,News: Fed trading volume light,Market Update: Energy stock unemployment falls unexpectedly,Market Update: Tech stock fed signals rate cuts,Market Update: Energy stock beats earnings estimates
2016-07-10,1,Market Update: Tech stock inflation data comes in lower,Market Update: Energy stock secures major contract,Market Update: Energy stock consumer confidence spikes,Market Update: Tech stock beats earnings estimates,Market Update: Banking stock tech sector leads rally,Market Update: Energy stock secures major contract,Market Update: Energy stock upgrades outlook,News: Fed to announce results,Market Update: Retail stock consumer confidence spikes,Market Update: Retail stock inflation data comes in lower,Market Update: Energy stock consumer confidence spikes,Market Update: Retail stock surges to record highs,Market Update: Retail stock upgrades outlook,News: Fed keeps rates unchanged,Market Update: Tech stock inflation data comes in lower,Market Update: Energy stock consumer confidence spikes,Market Update: Tech stock inflation data comes in lower,News: SEC trading volume light,News: Treasury trading volume light,Market Update: Energy stock unemployment falls unexpectedly,Market Update: Energy stock unemployment falls unexpectedly,Market Update: Retail stock tech sector leads rally,News: SEC trading volume light,Market Update: Banking stock beats earnings estimates,News: Fed to announce results
2016-07-11,1,Breaking: Tech sector sell-off accelerates,News: Treasury to announce results,Breaking: Banking sector misses revenue targets,News: Treasury keeps rates unchanged,Breaking: Banking sector downgrades guidance,Breaking: Banking sector fed hawkish on rates,Breaking: Retail sector plunges on weak earnings,Breaking: Banking sector consumer spending slows,Breaking: Retail sector faces regulatory probe,News: Treasury sector rotation observed,Breaking: Banking sector consumer spending slows,Breaking: Tech sector consumer spending slows,Breaking: Banking sector fed hawkish on rates,Breaking: Retail sector inflation accelerates,Breaking: Tech sector jobless claims rise,Breaking: Energy sector inflation accelerates,Breaking: Retail sector plunges on weak earnings,News: Fed to announce results,Breaking: Tech sector misses revenue targets,Breaking: Energy sector plunges on weak earnings,Breaking: Retail sector downgrades guidance,Breaking: Banking sector misses revenue targets,News: ECB releases meeting minutes,News: SEC keeps rates unchanged,Breaking: Energy sector misses revenue targets
2016-07-12,1,News: ECB markets await data,Breaking: Banking sector inflation accelerates,Breaking: Tech sector plunges on weak earnings,Breaking: Retail sector faces regulatory probe,News: Treasury trading volume light,Breaking: Banking sector sell-off accelerates,Breaking: Banking sector plunges on weak earnings,News: Fed releases meeting minutes,Breaking: Banking sector downgrades guidance,Breaking: Tech sector sell-off accelerates,News: SEC releases meeting minutes,Breaking: Tech sector downgrades guidance,Breaking: Retail sector inflation accelerates,Breaking: Tech sector sell-off accelerates,News: Treasury to announce results,Breaking: Retail sector faces regulatory probe,Breaking: Energy sector misses revenue targets,Breaking: Banking sector consumer spending slows,News: SEC trading volume light,Breaking: Banking sector consumer spending slows,News: Treasury releases meeting minutes,Breaking: Tech sector misses revenue targets,Breaking: Energy sector jobless claims rise,Breaking: Retail sector fed hawkish on rates,Breaking: Tech sector consumer spending slows
2016-07-13,1,News: Fed to announce results,News: Treasury releases meeting minutes,News: SEC trading volume light,News: Treasury keeps rates unchanged,News: SEC releases meeting minutes,News: ECB markets await data,News: SEC keeps rates unchanged,News: ECB markets await data,News: Treasury to announce results,News: ECB to announce results,News: Fed keeps rates unchanged,News: ECB to announce results,News: ECB markets await data,News: SEC markets await data,News: ECB trading volume light,News: Treasury keeps rates unchanged,News: ECB releases meeting minutes,News: ECB sector rotation observed,News: Treasury trading volume light,News: Fed trading volume light,News: Treasury markets await data,News: Fed keeps rates unchanged,News: SEC to announce results,News: ECB keeps rates unchanged,News: Fed sector rotation observed
2016-07-14,1,Breaking: Tech sector misses revenue targets,News: Treasury to announce results,Breaking: Retail sector inflation accelerates,News: Fed to announce results,Breaking: Energy sector misses revenue targets,Breaking: Energy sector downgrades guidance,Breaking: Banking sector fed hawkish on rates,Breaking: Banking sector plunges on weak earnings,Breaking: Energy sector misses revenue targets,News: ECB to announce results,Breaking: Retail sector fed hawkish on rates,Breaking: Banking sector plunges on weak earnings,Breaking: Tech sector plunges on weak earnings,Breaking: Banking sector fed hawkish on rates,Breaking: Tech sector misses revenue targets,Breaking: Energy sector faces regulatory probe,Breaking: Banking sector plunges on weak earnings,News: Treasury to announce results,Breaking: Retail sector downgrades guidance,Breaking: Banking sector downgrades guidance,Breaking: Tech sector consumer spending slows,News: ECB releases meeting minutes,News: SEC keeps rates unchanged,Breaking: Banking sector sell-off accelerates,Breaking: Tech sector faces regulatory probe
2016-07-15,1,Market Update: Banking stock consumer confidence spikes,News: SEC sector rotation observed,Market Update: Retail stock inflation data comes in lower,Market Update: Retail stock tech sector leads rally,Market Update: Energy stock upgrades outlook,News: Treasury releases meeting minutes,Market Update: Retail stock secures major contract,Market Update: Banking stock fed signals rate cuts,Market Update: Tech stock surges to record highs,Market Update: Banking stock tech sector leads rally,Market Update: Retail stock consumer confidence spikes,Market Update: Retail stock inflation data comes in lower,Market Update: Energy stock tech sector leads rally,Market Update: Retail stock unemployment falls unexpectedly,Market Update: Retail stock consumer confidence spikes,Market Update: Tech stock fed signals rate cuts,Market Update: Energy stock inflation data comes in lower,Market Update: Energy stock surges to record highs,Market Update: Retail stock tech sector leads rally,News: Fed trading volume light,Market Update: Energy stock inflation data comes in lower,Market Update: Retail stock unemployment falls unexpectedly,Market Update: Tech stock beats earnings estimates,Market Update: Tech stock consumer confidence spikes,Market Update: Energy stock fed signals rate cuts
2016-07-16,0,Breaking: Banking sector misses revenue targets,Breaking: Retail sector faces regulatory probe,Breaking: Tech sector consumer spending slows,Breaking: Banking sector plunges on weak earnings,News: Treasury releases meeting minutes,News: SEC releases meeting minutes,News: SEC to announce results,Breaking: Banking sector jobless claims rise,Breaking: Retail sector jobless claims rise,News: Treasury keeps rates unchanged,Breaking: Tech sector faces regulatory probe,Breaking: Banking sector misses revenue targets,News: Fed releases meeting minutes,Breaking: Tech sector misses revenue targets,Breaking: Banking sector downgrades guidance,Breaking: Tech sector jobless claims rise,Breaking: Tech sector fed hawkish on rates,Breaking: Tech sector misses revenue targets,Breaking: Energy sector fed hawkish on rates,News: Fed trading volume light,News: SEC sector rotation observed,Breaking: Tech sector faces regulatory probe,Breaking: Banking sector plunges on weak earnings,News: Fed sector rotation observed,News: Fed keeps rates unchanged
2016-07-17,1,Market Update: Retail stock fed signals rate cuts,Market Update: Banking stock inflation data comes in lower,Market Update: Tech stock consumer confidence spikes,Market Update: Retail stock fed signals rate cuts,News: Treasury keeps rates unchanged,News: ECB markets await data,News: ECB to announce results,Market Update: Retail stock upgrades outlook,Market Update: Retail stock secures major contract,Market Update: Energy stock upgrades outlook,Market Update: Energy stock secures major contract,Market Update: Banking stock beats earnings estimates,Market Update: Banking stock unemployment falls unexpectedly,Market Update: Energy stock upgrades outlook,Market Update: Banking stock fed signals rate cuts,Market Update: Energy stock consumer confidence spikes,News: Fed markets await data,News: ECB keeps rates unchanged,Market Update: Tech stock fed signals rate cuts,Market Update: Banking stock tech sector leads rally,Market Update: Energy stock tech sector leads rally,Market Update: Tech stock upgrades outlook,Market Update: Retail stock secures major contract,Market Update: Energy stock beats earnings estimates,Market Update: Banking stock upgrades outlook
2016-07-18,1,News: ECB sector rotation observed,Market Update: Banking stock unemployment falls unexpectedly,Market Update: Tech stock surges to record highs,Market Update: Banking stock unemployment falls unexpectedly,Market Update: Tech stock unemployment falls unexpectedly,Market Update: Banking stock tech sector leads rally,Market Update: Banking stock secures major contract,Market Update: Tech stock consumer confidence spikes,News: Treasury trading volume light,Market Update: Banking stock unemployment falls unexpectedly,Market Update: Energy stock surges to record highs,Market Update: Retail stock unemployment falls unexpectedly,Market Update: Retail stock secures major contract,News: SEC sector rotation observed,Market Update: Tech stock beats earnings estimates,Market Update: Tech stock upgrades outlook,Market Update: Tech stock beats earnings estimates,Market Update: Retail stock unemployment falls unexpectedly,Market Update: Retail stock consumer confidence spikes,Market Update: Retail stock upgrades outlook,News: Treasury trading volume light,Market Update: Tech stock fed signals rate cuts,Market Update: Tech stock tech sector leads rally,Market Update: Tech stock unemployment falls unexpectedly,News: ECB releases meeting minutes
2016-07-19,1,Market Update: Retail stock upgrades outlook,News: ECB to announce results,News: Treasury markets await data,News: Fed keeps rates unchanged,Market Update: Energy stock inflation data comes in lower,Market Update: Retail stock secures major contract,News: Treasury trading volume light,Market Update: Retail stock secures major contract,Market Update: Tech stock fed signals rate cuts,News: Fed releases meeting minutes,Market Update: Tech stock unemployment falls unexpectedly,Market Update: Energy stock upgrades outlook,Market Update: Energy stock consumer confidence spikes,Market Update: Tech stock secures major contract,Market Update: Energy stock secures major contract,Market Update: Tech stock upgrades outlook,Market Update: Retail stock surges to record highs,Market Update: Retail stock upgrades outlook,News: Treasury releases meeting minutes,Market Update: Banking stock fed signals rate cuts,Market Update: Retail stock consumer confidence spikes,News: Treasury trading volume light,Market Update: Energy stock surges to record highs,Market Update: Energy stock upgrades outlook,News: SEC markets await data
2016-07-20,1,Market Update: Retail stock tech sector leads rally,Market Update: Retail stock consumer confidence spikes,Market Update: Tech stock tech sector leads rally,Market Update: Energy stock inflation data comes in lower,News: SEC to announce results,Market Update: Energy stock beats earnings estimates,Market Update: Energy stock unemployment falls unexpectedly,Market Update: Energy stock inflation data comes in lower,Market Update: Energy stock inflation data comes in lower,Market Update: Energy stock beats earnings estimates,News: SEC keeps rates unchanged,News: ECB releases meeting minutes,Market Update: Banking stock consumer confidence spikes,News: ECB releases meeting minutes,Market Update: Tech stock upgrades outlook,Market Update: Banking stock tech sector leads rally,News: Fed trading volume light,News: SEC to announce results,Market Update: Banking stock secures major contract,News: Treasury markets await data,Market Update: Retail stock surges to record highs,Market Update: Banking stock fed signals rate cuts,Market Update: Retail stock upgrades outlook,Market Update: Energy stock consumer confidence spikes,Market Update: Energy stock secures major contract
2016-07-21,0,Breaking: Retail sector plunges on weak earnings,News: ECB markets await data,Breaking: Retail sector plunges on weak earnings,Breaking: Retail sector fed hawkish on rates,News: ECB to announce results,News: SEC trading volume light,Breaking: Retail sector plunges on weak earnings,Breaking: Tech sector plunges on weak earnings,Breaking: Retail sector jobless claims rise,Breaking: Banking sector fed hawkish on rates,Breaking: Banking sector misses revenue targets,News: Fed to announce results,News: SEC sector rotation observed,Breaking: Tech sector consumer spending slows,Breaking: Tech sector consumer spending slows,Breaking: Banking sector misses revenue targets,Breaking: Banking sector inflation accelerates,Breaking: Energy sector faces regulatory probe,Breaking: Retail sector inflation accelerates,News: SEC releases meeting minutes,News: SEC keeps rates unchanged,News: Treasury sector rotation observed,Breaking: Retail sector misses revenue targets,Breaking: Tech sector inflation accelerates,Breaking: Retail sector consumer spending slows
2016-07-22,1,Market Update: Banking stock beats earnings estimates,Market Update: Energy stock inflation data comes in lower,News: SEC to announce results,Market Update: Tech stock inflation data comes in lower,News: Treasury keeps rates unchanged,News: SEC to announce results,News: SEC keeps rates unchanged,Market Update: Retail stock tech sector leads rally,Market Update: Energy stock secures major contract,Market Update: Banking stock beats earnings estimates,News: ECB sector rotation observed,Market Update: Tech stock secures major contract,News: Fed releases meeting minutes,News: SEC sector rotation observed,News: ECB to announce results,Market Update: Banking stock unemployment falls unexpectedly,Market Update: Tech stock upgrades outlook,Market Update: Banking stock secures major contract,News: SEC trading volume light,News: SEC markets await data,Market Update: Retail stock beats earnings estimates,Market Update: Retail stock beats earnings estimates,Market Update: Tech stock beats earnings estimates,Market Update: Retail stock beats earnings estimates,Market Update: Tech stock unemployment falls unexpectedly
2016-07-23,0,News: ECB to announce results,News: SEC sector rotation observed,News: SEC keeps rates unchanged,News: Fed trading volume light,News: ECB to announce results,News: Treasury sector rotation observed,News: Fed to announce results,News: Treasury sector rotation observed,News: SEC sector rotation observed,News: SEC sector rotation observed,News: Fed keeps rates unchanged,News: Fed releases meeting minutes,News: ECB releases meeting minutes,News: Treasury to announce results,News: Fed to announce results,News: Treasury releases meeting minutes,News: ECB to announce results,News: SEC releases meeting minutes,News: Fed markets await data,News: SEC trading volume light,News: SEC markets await data,News: ECB to announce results,News: SEC trading volume light,News: Treasury trading volume light,News: ECB trading volume light
2016-07-24,1,News: Treasury markets await data,Market Update: Tech stock secures major contract,News: SEC keeps rates unchanged,Market Update: Tech stock tech sector leads rally,Market Update: Banking stock secures major contract,Market Update: Retail stock inflation data comes in lower,Market Update: Retail stock inflation data comes in lower,News: ECB sector rotation observed,Market Update: Tech stock fed signals rate cuts,News: ECB keeps rates unchanged,News: Treasury markets await data,Market Update: Energy stock fed signals rate cuts,Market Update: Energy stock consumer confidence spikes,Market Update: Energy stock tech sector leads rally,Market Update: Retail stock tech sector leads rally,Market Update: Banking stock tech sector leads rally,Market Update: Tech stock fed signals rate cuts,Market Update: Energy stock inflation data comes in lower,News: ECB markets await data,News: ECB to announce results,News: Treasury to announce results,News: SEC trading volume light,News: Treasury sector rotation observed,News: Fed keeps rates unchanged,Market Update: Retail stock unemployment falls unexpectedly
2016-07-25,0,Breaking: Energy sector misses revenue targets,News: Fed markets await data,Breaking: Energy sector fed hawkish on rates,Breaking: Retail sector fed hawkish on rates,News: SEC to announce results,Breaking: Banking sector downgrades guidance,News: Treasury releases meeting minutes,Breaking: Tech sector plunges on weak earnings,Breaking: Banking sector faces regulatory probe,News: Fed keeps rates unchanged,News: SEC releases meeting minutes,News: Fed keeps rates unchanged,Breaking: Tech sector inflation accelerates,News: Fed keeps rates unchanged,Breaking: Retail sector faces regulatory probe,Breaking: Tech sector misses revenue targets,News: ECB markets await data,Breaking: Tech sector fed hawkish on rates,Breaking: Energy sector consumer spending slows,Breaking: Retail sector plunges on weak earnings,Breaking: Tech sector plunges on weak earnings,Breaking: Retail sector misses revenue targets,Breaking: Tech sector jobless claims rise,Breaking: Retail sector fed hawkish on rates,News: Fed keeps rates unchanged
2016-07-26,0,Breaking: Retail sector faces regulatory probe,Breaking: Retail sector consumer spending slows,News: SEC to announce results,Breaking: Retail sector inflation accelerates,News: Treasury releases meeting minutes,Breaking: Banking sector downgrades guidance,News: SEC to announce results,Breaking: Retail sector jobless claims rise,Breaking: Banking sector sell-off accelerates,Breaking: Tech sector inflation accelerates,Breaking: Retail sector fed hawkish on rates,News: Fed markets await data,Breaking: Banking sector consumer spending slows,Breaking: Tech sector downgrades guidance,Breaking: Tech sector consumer spending slows,News: Treasury trading volume light,Breaking: Retail sector sell-off accelerates,News: Treasury markets await data,Breaking: Banking sector inflation accelerates,Breaking: Tech sector misses revenue targets,Breaking: Tech sector inflation accelerates,Breaking: Tech sector faces regulatory probe,Breaking: Tech sector plunges on weak earnings,Breaking: Energy sector misses revenue targets,Breaking: Tech sector fed hawkish on rates
2016-07-27,0,Market Update: Banking stock consumer confidence spikes,Market Update: Retail stock surges to record highs,News: SEC markets await data,Market Update: Banking stock fed signals rate cuts,Market Update: Tech stock inflation data comes in lower,News: ECB sector rotation observed,Market Update: Retail stock upgrades outlook,Market Update: Tech stock consumer confidence spikes,News: Fed markets await data,Market Update: Tech stock unemployment falls unexpectedly,News: ECB to announce results,Market Update: Banking stock consumer confidence spikes,Market Update: Banking stock beats earnings estimates,Market Update: Retail stock unemployment falls unexpectedly,News: ECB trading volume light,Market Update: Retail stock consumer confidence spikes,Market Update: Tech stock secures major contract,Market Update: Banking stock consumer confidence spikes,Market Update: Tech stock upgrades outlook,Market Update: Retail stock beats earnings estimates,Market Update: Energy stock surges to record highs,Market Update: Energy stock secures major contract,News: ECB keeps rates unchanged,News: SEC sector rotation observed,News: ECB sector rotation observed
2016-07-28,0,News: Fed trading volume light,News: Treasury releases meeting minutes,News: Fed keeps rates unchanged,News: Fed keeps rates unchanged,News: SEC trading volume light,News: Treasury markets await data,News: Fed sector rotation observed,News: SEC releases meeting minutes,News: SEC sector rotation observed,News: ECB to announce results,News: SEC keeps rates unchanged,News: Fed releases meeting minutes,News: ECB releases meeting minutes,News: SEC markets await data,News: ECB markets await data,News: Treasury trading volume light,News: SEC releases meeting minutes,News: Treasury markets await data,News: ECB to announce results,News: Fed markets await data,News: Fed sector rotation observed,News: ECB trading volume light,News: SEC trading volume light,News: ECB releases meeting minutes,News: SEC markets await data
